,SPI_1,SPI_2,SPI_3,SPI_4,SPI_5,SPI_6,SPI_7,SPI_8,SPI_9,SPI_10,SPI_11,SPI_12,SPI_13,SPI_14,SPI_15,SPI_16,SPI_17,SPI_18,SPI_19,SPI_20,SPI_21,SPI_22,SPI_23,SPI_24,SPI_25,SPI_26,SPI_27,SPI_28,SPI_29,SPI_30,SPI_31,SPI_32,SPI_33,SPI_34,SPI_35,SPI_36,SPI_37,SPI_38,SPI_39,SPI_40,SPI_41,SPI_42,SPI_43,SPI_44,SPI_45,SPI_46,SPI_47,SPI_48
SGI_56528,0.18388811770524122,0.280617740589832,0.2754486869148959,0.30307122031559114,0.3197514084835896,0.3635143442102935,0.3707523083960208,0.38900673766140476,0.3637415376542355,0.3449843824703416,0.34564984979195895,0.3333169517782553,0.3211725759839929,0.32608865539865317,0.319375975345728,0.34659568349120695,0.3595005933673178,0.37087154467156486,0.36071229173500857,0.35993081073988886,0.37796449176541425,0.37280832849864504,0.3631324658683484,0.3529603225236252,0.36226880852116455,0.3941338975097984,0.40603818945195186,0.39584832179599916,0.3886957565643777,0.3868121456709861,0.3883380477377456,0.3602272901277281,0.34718058576178107,0.35152626461505504,0.31243287924681906,0.3116594547568037,0.3184124173352505,0.33543420131967244,0.3602965760716253,0.34905452884904753,0.33180232881864186,0.31775822912077917,0.30766181692403666,0.3016452189121253,0.2849892002594398,0.28111885520732116,0.2784537633188098,0.2803099820948467
SGI_136964,0.15347834064956878,0.2178452157466089,0.24014961819131367,0.24772820302906262,0.2324377884737533,0.2181899021835787,0.21610315186246418,0.198273462531935,0.18494756305842167,0.18374722994622214,0.1890727906615665,0.19039535901308455,0.20342540968566064,0.2088878851609807,0.22006351715668976,0.2283283695851624,0.2347249707115333,0.24191087837170241,0.241685039592361,0.23170240094852287,0.22024249438931784,0.20942368766496816,0.2031710587604274,0.19208378618713565,0.18865160133809478,0.19370813160754866,0.1958671503380524,0.20475023642497212,0.20278318065690856,0.2038135700876537,0.19677756291727244,0.18330994960972236,0.17116744533995792,0.16489195025900885,0.1639685519499767,0.17278191031377477,0.20104873883156663,0.23176789419453186,0.2501994438720059,0.2556063065479131,0.25472609990543,0.24907137916919558,0.2381023896565839,0.23730037969144777,0.24084181404999505,0.24064759269976146,0.24156336894999084,0.2406506979829774
SGI_136486,0.135414703451332,0.24718390080053132,0.30066400520602604,0.3347695601120202,0.35893449877420464,0.3638600333993796,0.35774533870025416,0.3245624028173263,0.3137794148561471,0.32614904954566243,0.32445515641812417,0.3304909537662282,0.3403384231374441,0.33660219858118356,0.34838190307760514,0.34671680898313934,0.34467042769039125,0.340807607384583,0.3234195911872268,0.30585938077129143,0.2977590527398051,0.28007689641820355,0.27039157160298416,0.26884167364080824,0.27759297981570347,0.27414684551966245,0.27213661301321884,0.26951200113456264,0.26902856736585146,0.2722047107268381,0.2761911268829157,0.2828458034521499,0.2805039320804812,0.284133960202287,0.27627887393680833,0.2649905529421857,0.2683427903908134,0.2778565209673093,0.2889810474613323,0.29911515720859755,0.30483011532887866,0.30599047636975674,0.2976225573226387,0.29444416403719326,0.2840922616023175,0.2797338579357206,0.2778779702471497,0.27677715720694757
SGI_132260,0.14049661817537254,0.3251180834609972,0.2571326326963068,0.28929691158162857,0.23223228926167214,0.22804128336683943,0.2148380124594141,0.18254198572523186,0.19580578942807958,0.2002638517733052,0.22916648121116157,0.21400123558151632,0.19777844640831518,0.19688113673499502,0.14877892889022457,0.17553798521959388,0.16747644117039998,0.14903886383527368,0.13113539940093316,0.07413843138174295,0.10116098340883325,0.08657257971203672,0.0763318550276367,0.09326679473521893,0.09739726783462922,0.11513693764606207,0.12344417362961745,0.1445380724579852,0.14201705956627617,0.1385025966791055,0.13373474885142414,0.122632322020423,0.12478301663425388,0.137580361737082,0.13133480155055988,0.14674217836189465,0.14714098266114808,0.1429677805296749,0.13589612572327073,0.14686680470541136,0.1393607380730347,0.14802761007645251,0.14018683269291676,0.1543657498324442,0.15749921218372098,0.1270262908175543,0.12599367254270172,0.11489124571170059
SGI_58096,0.020235726312566968,0.11589512584461306,0.23135728499267455,0.23566508495331395,0.2578076140910979,0.27460584723710396,0.280732982003455,0.30535960289519143,0.31116310598937263,0.33467450963241563,0.3545428702630601,0.3853928407426035,0.41158513918348605,0.40563294045614573,0.4139642693140321,0.43027705495178326,0.4017406135881568,0.4051737333537425,0.411567645579585,0.376422995342328,0.3799960639391223,0.36476788174323765,0.34045177232074525,0.32221031685290064,0.3121996020205112,0.2912903719577529,0.29516520522184075,0.2782313966456014,0.28199689488530755,0.2898821368437165,0.2948853075594236,0.29544510288425796,0.30954057422754805,0.31898712033412785,0.3235616977542586,0.3324659421399051,0.3488705691981369,0.3555793662941987,0.4037392578338545,0.4157967243226695,0.39835560123329905,0.41222802912685047,0.40353370798801685,0.3955128905993746,0.3812512300190243,0.37215892939144124,0.36438739585838925,0.355535632284446
SGI_136969,0.1758440034371723,0.3179844506388088,0.346633416459614,0.3677717471036387,0.3952408893740735,0.43461514281618513,0.42697877155943625,0.40198243886171375,0.38633877491230917,0.38348247029569316,0.3973469687135446,0.42252980992988687,0.40889792325997704,0.4052264297248991,0.4025964500522262,0.4197908589879081,0.399199480291746,0.4236991554735932,0.41084054569548917,0.370831325049537,0.4025964500522262,0.382962761165157,0.39123829082841205,0.40078794610201374,0.36990297365910346,0.3617657536838137,0.347827909219314,0.334034661246778,0.33303715501236186,0.3519352878316158,0.35028395398136386,0.34801651333926664,0.35503887340550305,0.33472201848393873,0.33258869632714116,0.3279930426042953,0.3423206689166971,0.3667344244438992,0.3918774492349182,0.39643747773510635,0.3893857792502106,0.38289151071984157,0.3712881661400889,0.368681238082077,0.3599530585309356,0.35869779333258417,0.36268362706758317,0.34237096334868444
SGI_57525,0.04012588512981904,0.22449724626278522,0.22666876475216366,0.3021557828481511,0.37758615263571993,0.39975452399685285,0.48437450826121164,0.46202360346184107,0.4765129819040126,0.4835310778914241,0.461110936270653,0.4367332808811959,0.46028638867033833,0.45934854445318646,0.4728686073957514,0.47995594020456334,0.47263571990558617,0.456918961447679,0.4232258064516129,0.43047678992918964,0.445765538945712,0.4123933910306845,0.4027631785995279,0.39808025177025963,0.3749992132179386,0.3523587726199843,0.33990243902439027,0.33121636506687646,0.3079905586152636,0.31350432730133754,0.3293910306845004,0.32453186467348544,0.3056553894571204,0.3202517702596381,0.3082486231313926,0.32044059795436663,0.30070180959874115,0.3087773406766326,0.3128245476003147,0.31626750590086544,0.3082549173878836,0.3090479937057435,0.3028859166011015,0.2877167584579072,0.2750653029110936,0.26678835562549175,0.25713296616837134,0.2667002360346184
SGI_57128,0.06132217493913518,0.15170359131312536,0.19550740271130912,0.22088247729178323,0.23677449690602598,0.28814736667642343,0.34682060826165795,0.39032254241008335,0.40047099173311196,0.4092791692875799,0.4301355681766447,0.4149326505566148,0.40842569434061904,0.4031136030503684,0.3818035980320855,0.3949976885084354,0.36264782700029813,0.35159848745547756,0.35911064749789384,0.30989833375063613,0.32432680188175717,0.29986684210552433,0.274235725040962,0.24141171078451312,0.22837251020594498,0.23507544955790954,0.2024616430198788,0.18620610629859718,0.21646969571416358,0.2455083905299251,0.2662225435944965,0.27813484114124415,0.30190885994158617,0.2891841806860647,0.2515506770525755,0.24397687715287872,0.2563459418471665,0.282719898217417,0.30676576459345767,0.3332424540591757,0.34532860761363754,0.34773730357506033,0.3547041879569183,0.3592781814689639,0.3542158106261574,0.3616726528479373,0.35309206861265896,0.34702449394343193
SGI_136050,0.026076587080870742,-0.0013669722913373277,0.03237931263853185,0.06222519567083345,0.1120454552027891,0.13758797835601463,0.17860678723923276,0.21342120002439233,0.2537844791769268,0.2849433496992153,0.2620480098407798,0.26706474030912924,0.26405315960522385,0.20102011994275382,0.19611135907710525,0.1842790474382658,0.17128991862763168,0.16782525119810676,0.15551286043297252,0.12129613651990685,0.10512190442959819,0.06906005712752009,0.037692959514308545,0.014412013931941501,-0.005822646431366332,-0.018316271886748395,-0.017030276797436694,-0.02728353299677648,-0.005317502933016008,0.0275380327745713,0.058249600657099214,0.07749518233852264,0.11031986958819542,0.0994573563450438,0.07051957479260099,0.0482257798634987,0.05524573206767248,0.07362177284163027,0.08382490029685895,0.09052865580740886,0.07864814345307795,0.07676831554891167,0.07069309736837018,0.0687496445197552,0.04260364840857677,0.047153795950969,0.03194743422772852,0.013769980401595478
SGI_126793,0.024067662266357103,0.17282387964407103,0.21914353039590484,0.23206522908013996,0.32796721341848606,0.3923452913852352,0.4561980221158921,0.4994270335723525,0.491224243394771,0.466846288316453,0.49151610297037784,0.4653224741111794,0.4590705347810751,0.45714426158207006,0.43976171970013894,0.47485860171837524,0.46876948930939905,0.4829845867444813,0.480867836769817,0.4589230688902422,0.4783854942741294,0.4815590831330963,0.47299070043449154,0.46308590810021333,0.47837934986201136,0.48962362403802195,0.48402913680454784,0.47778026968050263,0.46366041063325,0.446944537466126,0.45021643691898156,0.4239920859991929,0.4193376938197787,0.39824392701855227,0.3740718097461885,0.35407482050803196,0.364594054054114,0.3919520490096808,0.42600438096785054,0.42637304569493284,0.4197585860498643,0.42626244627680815,0.430062765171815,0.4320013271950562,0.4283914850757085,0.4166034304272515,0.4267017717432479,0.39843747600027046
SGI_136970,0.005257446882999368,-0.023358652152163192,-0.011539314175069629,-0.05814694249026998,-0.041063157035126446,-0.00025435495350507376,-0.026592927065539635,0.005047429031481417,0.003455960423312057,0.003889997316449155,0.038148575962393995,0.0879274738355154,0.10727011796031867,0.15424177721815013,0.17799246269314684,0.197470451655595,0.23716615912417124,0.269282555684633,0.2882238323598686,0.3225384157662182,0.33532850292366145,0.36759891257523636,0.38838367928046286,0.4049027500681915,0.42263759086304065,0.42368301305726336,0.43942735132605903,0.45400025668972127,0.44435577024168027,0.4512723581516715,0.4616215711681394,0.4670983700293908,0.4677330906473117,0.470668673505196,0.45938604781531495,0.4700222852288574,0.4705473298576523,0.4371474908712475,0.4522081043567681,0.4422789270433361,0.4310126360752398,0.4402394203519285,0.4348396280362336,0.42299228767893765,0.421272474828174,0.4315446812990853,0.4198326857794342,0.44036776459452276
SGI_50808,-0.08138962644204357,0.005052874931331258,0.03840871635231643,0.026328740157480313,0.06409654825123604,0.10426203991942867,0.14161783556125251,0.17612960080571324,0.19169451565647316,0.18063884819630105,0.22602316425563085,0.24837483977293537,0.2862570957700055,0.2976961637062809,0.3046145394616371,0.3513722303607398,0.346862982970152,0.3687454220838674,0.3896664988097418,0.37165239882805345,0.37322605749862664,0.3865592382347555,0.3858611060245376,0.3809341237868522,0.3932773301593115,0.39855910089727153,0.39370650979674054,0.38855635414759204,0.3742103094671306,0.3655351583958982,0.3523164255630837,0.3381534975279253,0.345449551364219,0.326199414026735,0.3112811298297015,0.3108576725874382,0.3052440029298663,0.30352728438015014,0.3440246749679546,0.33983588170664714,0.34907754989928585,0.37590413843618387,0.3748626625160227,0.3850428035158396,0.38519730818531406,0.37831898919611795,0.37976103277787954,0.37118316242446436
SGI_123132,-0.049878249672891464,0.05288519166772796,0.07063459718622371,0.1331114086871393,0.25658325085780204,0.29568947901843945,0.3239848716851127,0.3336381372539576,0.32431821529274074,0.3478280723320964,0.3755526711500915,0.4300246697171447,0.4564935220680479,0.49860212587273234,0.5288610493788585,0.5624397099088967,0.6001029712200757,0.6226082310857578,0.6504150242179626,0.6655227958047758,0.6711005932940587,0.683824729768792,0.6905098673245106,0.6918295427026544,0.6973913579641743,0.6996037549216508,0.7052614635497486,0.7180700775140864,0.7108940572485046,0.7128758534911152,0.7152457895508268,0.7049007218373841,0.6931880320625085,0.7010512881218987,0.6968137145893121,0.7032066056945073,0.7098574956193051,0.686009728621532,0.6791670519635783,0.6738792177494239,0.6689635411246078,0.6681758456134319,0.6699201916149923,0.658586508955639,0.6556960089059328,0.6550612861462027,0.6456386212922238,0.6500908133119133
SGI_130860,-0.12097439409364098,-0.06167623160359464,-0.030520016150999807,-0.01805050983973738,0.028874673129633373,0.05909194616470176,0.08447849208903828,0.05867951351401257,0.029168641082784174,0.009529826779754396,-0.015053791750155312,0.018655996071600227,0.038119307119017586,0.022367889927802906,0.0023956194391095307,0.004286667018333354,0.004813176785170614,-0.0013031116729222173,-0.009143719617407073,-0.014092911425677312,0.0015181031610474315,-0.01666403412039926,-0.006247915899802146,0.01743624844509391,-0.0016409554399761253,-0.023925481321363132,0.004747363064315956,-0.0026413239969669184,-0.01293020235724503,0.006612085155197917,-0.002167465206813385,-0.00039488232512794463,0.002891416136214617,0.002689587392260334,0.02132803313829932,0.012991628496709378,0.01654995700425119,0.024728408715789955,0.03680742028331475,0.035894803354130166,0.05060636375584126,0.05368644589183923,0.07071903684902457,0.09357833589254225,0.10599957880851127,0.10461749067056346,0.11990821181579554,0.13374225593944453
SGI_5418,-0.025437064227714187,0.061549665160095794,0.12196367680275184,0.10251191993471569,0.14385600622126507,0.17741387879032472,0.17747882951142613,0.1543622774103349,0.1353218751092743,0.13429053638633076,0.153401794019502,0.19105156201795018,0.22396386378333524,0.2521209854826295,0.29292184755633077,0.334909536442885,0.3430126309512028,0.351710122967782,0.3719649069330719,0.3631867185660334,0.3843291623863758,0.4149091428031195,0.40638485270947744,0.4230535695885018,0.4409327317244161,0.42439785269493396,0.42962933804910175,0.4251713567371416,0.4019406488232055,0.40417652819202965,0.40419227382138756,0.3907947114414703,0.39064119155523064,0.37407875767437215,0.35960655609077713,0.35333782740265657,0.34579960734755405,0.3321402738795614,0.3628580285531869,0.35785091841736943,0.3470454802704992,0.35750451457149524,0.3477619064062844,0.33708046509060774,0.3337089322043439,0.32054755426479536,0.31196224985739135,0.3245233256776693
SGI_55463,0.06964175502345667,0.27755391692404624,0.3748244652562891,0.4416481813535078,0.5102468036280485,0.5185649970485704,0.5310968145730465,0.5262351837614323,0.5104475276570066,0.48729472214356867,0.5153455100644163,0.5256314311703931,0.5283578008550597,0.5333616770415259,0.5121386671135825,0.5299446270367438,0.5311094586063666,0.5519736940888497,0.5841654029220604,0.5479054763680776,0.5551062533439275,0.5381205750824135,0.5083912917383103,0.4948985276814996,0.47794604000745117,0.4643363186424287,0.45936247203509784,0.4579463403032363,0.4485929166546237,0.4465414222484224,0.4278740875553228,0.4051701452247517,0.41319436487057903,0.38172810744911434,0.3706060996398398,0.36057938121692695,0.37090955643952445,0.37080050165213774,0.39590997132187555,0.42194719693648247,0.416010823292652,0.4252409676163927,0.4167125671419227,0.40818416666745266,0.3923696419922216,0.3748766218937349,0.3829055830520573,0.3747090884522423
SGI_60137,-0.05701915691954248,0.045147587808248124,0.053915574597595974,0.06721843791948416,0.09350563349443146,0.09000598293558564,0.09867547656549291,0.09483424334731065,0.0976653977814428,0.09622572117430084,0.12223420206402269,0.1786477308329625,0.18805068416083148,0.1912737156335889,0.19495149211908255,0.19932919871634538,0.2094299865568465,0.23676917289858457,0.23155741784478243,0.2253104368172858,0.23167896259473036,0.21789620707046153,0.2374355734241612,0.2448162735847929,0.23587854326534535,0.22217961170655787,0.23299499885278738,0.23809568715232673,0.22160122634473664,0.2260250361230142,0.21864852716065653,0.21957268638008828,0.2331856983742574,0.23973863687576094,0.2425320705254265,0.24366369405942453,0.2529409114390715,0.25476198708915354,0.26449394948153676,0.2394473485957133,0.25061479639696443,0.2632219208053575,0.26962397616899464,0.2652860859553354,0.26349434869317184,0.25720126448466046,0.25694141019166833,0.24748397128623648
