area,start_date,end_date,value
Bitterroot,1981-01-01,1981-01-31,20.32400994002819
Gallatin,1981-01-01,1981-01-31,-18.70338030345738
Paradise Valley,1981-01-01,1981-01-31,-12.583968909457326
Bitterroot,1981-02-01,1981-02-28,85.4171013534069
Gallatin,1981-02-01,1981-02-28,-7.6292877942323685
Paradise Valley,1981-02-01,1981-02-28,24.10628618299961
Bitterroot,1981-03-01,1981-03-31,7.6256662011146545
Gallatin,1981-03-01,1981-03-31,-30.59477248042822
Paradise Valley,1981-03-01,1981-03-31,-13.58285279199481
Bitterroot,1981-04-01,1981-04-30,9.936462342739105
Gallatin,1981-04-01,1981-04-30,-49.59379422664642
Paradise Valley,1981-04-01,1981-04-30,-31.678974190726876
Bitterroot,1981-05-01,1981-05-31,24.362986236810684
Gallatin,1981-05-01,1981-05-31,56.49062864296138
Paradise Valley,1981-05-01,1981-05-31,56.49062864296138
Bitterroot,1981-06-01,1981-06-30,40.63367713987827
Gallatin,1981-06-01,1981-06-30,-50.16672685742378
Paradise Valley,1981-06-01,1981-06-30,-2.2543374095112085
Bitterroot,1981-07-01,1981-07-31,-113.82855094969273
Gallatin,1981-07-01,1981-07-31,-147.68603445589542
Paradise Valley,1981-07-01,1981-07-31,-135.19746148586273
Bitterroot,1981-08-01,1981-08-31,-133.16765210032463
Gallatin,1981-08-01,1981-08-31,-139.18253825604916
Paradise Valley,1981-08-01,1981-08-31,-130.60787680000067
Bitterroot,1981-09-01,1981-09-30,-50.888859033584595
Gallatin,1981-09-01,1981-09-30,-78.37133715488017
Paradise Valley,1981-09-01,1981-09-30,-78.37133715488017
Bitterroot,1981-10-01,1981-10-31,18.177152298390865
Gallatin,1981-10-01,1981-10-31,-5.316367454826832
Paradise Valley,1981-10-01,1981-10-31,5.385289780795574
Bitterroot,1981-11-01,1981-11-30,78.85729656368494
Gallatin,1981-11-01,1981-11-30,-8.441118225455284
Paradise Valley,1981-11-01,1981-11-30,22.796471741050482
Bitterroot,1981-12-01,1981-12-31,153.21138921380043
Gallatin,1981-12-01,1981-12-31,-9.505224354565144
Paradise Valley,1981-12-01,1981-12-31,70.98249455541372
Bitterroot,1982-01-01,1982-01-31,175.14036540780216
Gallatin,1982-01-01,1982-01-31,-11.550701804459095
Paradise Valley,1982-01-01,1982-01-31,75.73825884237885
Bitterroot,1982-02-01,1982-02-28,106.65231244266033
Gallatin,1982-02-01,1982-02-28,-22.884467855095863
Paradise Valley,1982-02-01,1982-02-28,17.4341279566288
Bitterroot,1982-03-01,1982-03-31,59.39427971094847
Gallatin,1982-03-01,1982-03-31,5.437251724302769
Paradise Valley,1982-03-01,1982-03-31,38.85861100256443
Bitterroot,1982-04-01,1982-04-30,37.229116436094046
Gallatin,1982-04-01,1982-04-30,-27.95307606458664
Paradise Valley,1982-04-01,1982-04-30,28.337276753038168
Bitterroot,1982-05-01,1982-05-31,-32.41904813051224
Gallatin,1982-05-01,1982-05-31,-35.8064621090889
Paradise Valley,1982-05-01,1982-05-31,-38.81549031287432
Bitterroot,1982-06-01,1982-06-30,-52.54442337155342
Gallatin,1982-06-01,1982-06-30,-35.70589257776737
Paradise Valley,1982-06-01,1982-06-30,-35.70589257776737
Bitterroot,1982-07-01,1982-07-31,-90.08152188546956
Gallatin,1982-07-01,1982-07-31,-126.2842015773058
Paradise Valley,1982-07-01,1982-07-31,-93.57944043725729
Bitterroot,1982-08-01,1982-08-31,-113.32894234033301
Gallatin,1982-08-01,1982-08-31,-127.08188824355602
Paradise Valley,1982-08-01,1982-08-31,-110.47440180182457
Bitterroot,1982-09-01,1982-09-30,-12.841350823640823
Gallatin,1982-09-01,1982-09-30,-20.744184367358685
Paradise Valley,1982-09-01,1982-09-30,-11.835208358243108
Bitterroot,1982-10-01,1982-10-31,32.522997945547104
Gallatin,1982-10-01,1982-10-31,-27.903523369226605
Paradise Valley,1982-10-01,1982-10-31,3.6668981672264636
Bitterroot,1982-11-01,1982-11-30,41.11248618364334
Gallatin,1982-11-01,1982-11-30,-17.847082301974297
Paradise Valley,1982-11-01,1982-11-30,5.329152904450893
Bitterroot,1982-12-01,1982-12-31,116.28388238698244
Gallatin,1982-12-01,1982-12-31,14.440521597862244
Paradise Valley,1982-12-01,1982-12-31,48.777167949825525
Bitterroot,1983-01-01,1983-01-31,99.58792054653168
Gallatin,1983-01-01,1983-01-31,-25.310790933668613
Paradise Valley,1983-01-01,1983-01-31,24.97427506558597
Bitterroot,1983-02-01,1983-02-28,61.65053250640631
Gallatin,1983-02-01,1983-02-28,-22.622809939086437
Paradise Valley,1983-02-01,1983-02-28,15.19643535465002
Bitterroot,1983-03-01,1983-03-31,49.25865812972188
Gallatin,1983-03-01,1983-03-31,-23.677397604100406
Paradise Valley,1983-03-01,1983-03-31,19.270236268639565
Bitterroot,1983-04-01,1983-04-30,-23.258055040147156
Gallatin,1983-04-01,1983-04-30,-44.03381624817848
Paradise Valley,1983-04-01,1983-04-30,-12.596274070441723
Bitterroot,1983-05-01,1983-05-31,-36.67035472393036
Gallatin,1983-05-01,1983-05-31,-64.42549550160766
Paradise Valley,1983-05-01,1983-05-31,-43.281896471977234
Bitterroot,1983-06-01,1983-06-30,-49.91248147934675
Gallatin,1983-06-01,1983-06-30,-48.23865989781916
Paradise Valley,1983-06-01,1983-06-30,-56.911415100097656
Bitterroot,1983-07-01,1983-07-31,-36.28892891481519
Gallatin,1983-07-01,1983-07-31,-101.36695023998618
Paradise Valley,1983-07-01,1983-07-31,-91.32223294163123
Bitterroot,1983-08-01,1983-08-31,-81.50409871619195
Gallatin,1983-08-01,1983-08-31,-98.42898941785097
Paradise Valley,1983-08-01,1983-08-31,-97.00060879811645
Bitterroot,1983-09-01,1983-09-30,-24.149156868457794
Gallatin,1983-09-01,1983-09-30,-38.25586139410734
Paradise Valley,1983-09-01,1983-09-30,-34.54062948329374
Bitterroot,1983-10-01,1983-10-31,12.116142272949219
Gallatin,1983-10-01,1983-10-31,-19.403034212999046
Paradise Valley,1983-10-01,1983-10-31,7.654205679893494
Bitterroot,1983-11-01,1983-11-30,108.00175042496994
Gallatin,1983-11-01,1983-11-30,17.491183227393776
Paradise Valley,1983-11-01,1983-11-30,70.11426635459065
Bitterroot,1983-12-01,1983-12-31,110.13556108996272
Gallatin,1983-12-01,1983-12-31,7.885816986206919
Paradise Valley,1983-12-01,1983-12-31,51.88997504115105
Bitterroot,1984-01-01,1984-01-31,100.18209916353226
Gallatin,1984-01-01,1984-01-31,-20.366624891757965
Paradise Valley,1984-01-01,1984-01-31,4.027645625174046
Bitterroot,1984-02-01,1984-02-29,61.625128127634525
Gallatin,1984-02-01,1984-02-29,-20.575883423909545
Paradise Valley,1984-02-01,1984-02-29,-0.4307893570512533
Bitterroot,1984-03-01,1984-03-31,90.23201516270638
Gallatin,1984-03-01,1984-03-31,-8.771077319514006
Paradise Valley,1984-03-01,1984-03-31,-1.9559442698955536
Bitterroot,1984-04-01,1984-04-30,24.73479352518916
Gallatin,1984-04-01,1984-04-30,-23.10302747786045
Paradise Valley,1984-04-01,1984-04-30,5.553201578557491
Bitterroot,1984-05-01,1984-05-31,43.427444249391556
Gallatin,1984-05-01,1984-05-31,-77.41675121337175
Paradise Valley,1984-05-01,1984-05-31,-1.914906533434987
Bitterroot,1984-06-01,1984-06-30,-26.455476492643356
Gallatin,1984-06-01,1984-06-30,-61.675031922757626
Paradise Valley,1984-06-01,1984-06-30,-61.675031922757626
Bitterroot,1984-07-01,1984-07-31,-147.32888434827328
Gallatin,1984-07-01,1984-07-31,-128.1915285140276
Paradise Valley,1984-07-01,1984-07-31,-114.79400469362736
Bitterroot,1984-08-01,1984-08-31,-101.20551317557693
Gallatin,1984-08-01,1984-08-31,-107.10917347855866
Paradise Valley,1984-08-01,1984-08-31,-93.01470273733139
Bitterroot,1984-09-01,1984-09-30,-11.757042825222015
Gallatin,1984-09-01,1984-09-30,-50.076363996602595
Paradise Valley,1984-09-01,1984-09-30,-23.938472386449575
Bitterroot,1984-10-01,1984-10-31,32.85910629341379
Gallatin,1984-10-01,1984-10-31,-17.204960610717535
Paradise Valley,1984-10-01,1984-10-31,3.639552503824234
Bitterroot,1984-11-01,1984-11-30,98.28346374258399
Gallatin,1984-11-01,1984-11-30,-15.551210853271186
Paradise Valley,1984-11-01,1984-11-30,23.94509118795395
Bitterroot,1984-12-01,1984-12-31,104.5564204454422
Gallatin,1984-12-01,1984-12-31,-15.621548168361187
Paradise Valley,1984-12-01,1984-12-31,19.84514768794179
Bitterroot,1985-01-01,1985-01-31,18.484783116728067
Gallatin,1985-01-01,1985-01-31,-8.686949342489243
Paradise Valley,1985-01-01,1985-01-31,-1.0107392892241478
Bitterroot,1985-02-01,1985-02-28,50.60296896100044
Gallatin,1985-02-01,1985-02-28,-22.529239292256534
Paradise Valley,1985-02-01,1985-02-28,15.467001397162676
Bitterroot,1985-03-01,1985-03-31,23.88796405494213
Gallatin,1985-03-01,1985-03-31,-14.94868357013911
Paradise Valley,1985-03-01,1985-03-31,3.169773967936635
Bitterroot,1985-04-01,1985-04-30,-16.379811257123947
Gallatin,1985-04-01,1985-04-30,-86.93419083673507
Paradise Valley,1985-04-01,1985-04-30,-56.4143700376153
Bitterroot,1985-05-01,1985-05-31,-30.763647127896547
Gallatin,1985-05-01,1985-05-31,-81.5705354809761
Paradise Valley,1985-05-01,1985-05-31,-64.45942297577858
Bitterroot,1985-06-01,1985-06-30,-110.46107582747936
Gallatin,1985-06-01,1985-06-30,-134.68987931869924
Paradise Valley,1985-06-01,1985-06-30,-106.19832855090499
Bitterroot,1985-07-01,1985-07-31,-187.58620417118073
Gallatin,1985-07-01,1985-07-31,-152.14353413227946
Paradise Valley,1985-07-01,1985-07-31,-108.12345673143864
Bitterroot,1985-08-01,1985-08-31,-18.785170532763004
Gallatin,1985-08-01,1985-08-31,-97.74474615603685
Paradise Valley,1985-08-01,1985-08-31,-97.74474615603685
Bitterroot,1985-09-01,1985-09-30,48.269421361386776
Gallatin,1985-09-01,1985-09-30,-10.289267465472221
Paradise Valley,1985-09-01,1985-09-30,2.7184279207140207
Bitterroot,1985-10-01,1985-10-31,22.08585124462843
Gallatin,1985-10-01,1985-10-31,-41.01434657908976
Paradise Valley,1985-10-01,1985-10-31,-13.543519457802176
Bitterroot,1985-11-01,1985-11-30,83.38298893719912
Gallatin,1985-11-01,1985-11-30,-2.3796213641762733
Paradise Valley,1985-11-01,1985-11-30,63.32684647291899
Bitterroot,1985-12-01,1985-12-31,14.389457151293755
Gallatin,1985-12-01,1985-12-31,-12.60084230452776
Paradise Valley,1985-12-01,1985-12-31,8.507832996547222
Bitterroot,1986-01-01,1986-01-31,81.82424410618842
Gallatin,1986-01-01,1986-01-31,-23.294518534094095
Paradise Valley,1986-01-01,1986-01-31,18.542086070403457
Bitterroot,1986-02-01,1986-02-28,175.04143196344376
Gallatin,1986-02-01,1986-02-28,-6.920613145455718
Paradise Valley,1986-02-01,1986-02-28,137.46185355400667
Bitterroot,1986-03-01,1986-03-31,15.536099536344409
Gallatin,1986-03-01,1986-03-31,-50.200858395546675
Paradise Valley,1986-03-01,1986-03-31,-15.604110280051827
Bitterroot,1986-04-01,1986-04-30,16.407842934131622
Gallatin,1986-04-01,1986-04-30,-26.307455375790596
Paradise Valley,1986-04-01,1986-04-30,21.13517920905724
Bitterroot,1986-05-01,1986-05-31,-18.573976546525955
Gallatin,1986-05-01,1986-05-31,-68.05349463224411
Paradise Valley,1986-05-01,1986-05-31,-68.05349463224411
Bitterroot,1986-06-01,1986-06-30,-95.46302181109786
Gallatin,1986-06-01,1986-06-30,-86.63232978619635
Paradise Valley,1986-06-01,1986-06-30,-87.09964312706143
Bitterroot,1986-07-01,1986-07-31,-87.51894613355398
Gallatin,1986-07-01,1986-07-31,-111.08169782161713
Paradise Valley,1986-07-01,1986-07-31,-78.2278570085764
Bitterroot,1986-08-01,1986-08-31,-110.96395936980844
Gallatin,1986-08-01,1986-08-31,-106.32210136204958
Paradise Valley,1986-08-01,1986-08-31,-98.43103930354118
Bitterroot,1986-09-01,1986-09-30,11.04387079924345
Gallatin,1986-09-01,1986-09-30,-28.731558775529265
Paradise Valley,1986-09-01,1986-09-30,-2.312329053878784
Bitterroot,1986-10-01,1986-10-31,-15.616354871541262
Gallatin,1986-10-01,1986-10-31,-41.88503400422633
Paradise Valley,1986-10-01,1986-10-31,-29.993384033441544
Bitterroot,1986-11-01,1986-11-30,114.60111951595172
Gallatin,1986-11-01,1986-11-30,-2.9414046984165907
Paradise Valley,1986-11-01,1986-11-30,66.9441136866808
Bitterroot,1986-12-01,1986-12-31,15.925118427723646
Gallatin,1986-12-01,1986-12-31,-13.15156838297844
Paradise Valley,1986-12-01,1986-12-31,-13.15156838297844
Bitterroot,1987-01-01,1987-01-31,56.927508318796754
Gallatin,1987-01-01,1987-01-31,-15.01954787131399
Paradise Valley,1987-01-01,1987-01-31,12.855160519480705
Bitterroot,1987-02-01,1987-02-28,23.868285700678825
Gallatin,1987-02-01,1987-02-28,-19.860263501293957
Paradise Valley,1987-02-01,1987-02-28,10.993843644857407
Bitterroot,1987-03-01,1987-03-31,22.39023598842323
Gallatin,1987-03-01,1987-03-31,-39.11577239446342
Paradise Valley,1987-03-01,1987-03-31,-3.7976180762052536
Bitterroot,1987-04-01,1987-04-30,-56.83451642561704
Gallatin,1987-04-01,1987-04-30,-99.73049420723692
Paradise Valley,1987-04-01,1987-04-30,-78.98319420218468
Bitterroot,1987-05-01,1987-05-31,-40.40765857696533
Gallatin,1987-05-01,1987-05-31,-15.069084508344531
Paradise Valley,1987-05-01,1987-05-31,-12.823719652369618
Bitterroot,1987-06-01,1987-06-30,-91.04465125873685
Gallatin,1987-06-01,1987-06-30,-113.59130657091737
Paradise Valley,1987-06-01,1987-06-30,-100.15478890761733
Bitterroot,1987-07-01,1987-07-31,-73.19043390080333
Gallatin,1987-07-01,1987-07-31,-46.45987589657307
Paradise Valley,1987-07-01,1987-07-31,-44.710388004779816
Bitterroot,1987-08-01,1987-08-31,-103.61597641184926
Gallatin,1987-08-01,1987-08-31,-80.12581982463598
Paradise Valley,1987-08-01,1987-08-31,-84.63910294463858
Bitterroot,1987-09-01,1987-09-30,-99.86729729175568
Gallatin,1987-09-01,1987-09-30,-91.01652234047651
Paradise Valley,1987-09-01,1987-09-30,-91.01652234047651
Bitterroot,1987-10-01,1987-10-31,-73.83174406737089
Gallatin,1987-10-01,1987-10-31,-74.21023947000504
Paradise Valley,1987-10-01,1987-10-31,-66.24252757430077
Bitterroot,1987-11-01,1987-11-30,34.50003197416663
Gallatin,1987-11-01,1987-11-30,-15.586040668655187
Paradise Valley,1987-11-01,1987-11-30,11.55540007725358
Bitterroot,1987-12-01,1987-12-31,93.69246515631676
Gallatin,1987-12-01,1987-12-31,-5.949431796558201
Paradise Valley,1987-12-01,1987-12-31,44.6956494692713
Bitterroot,1988-01-01,1988-01-31,90.86181942373514
Gallatin,1988-01-01,1988-01-31,-13.432904860470444
Paradise Valley,1988-01-01,1988-01-31,27.564168363809586
Bitterroot,1988-02-01,1988-02-29,77.57394143939018
Gallatin,1988-02-01,1988-02-29,-31.548132905736566
Paradise Valley,1988-02-01,1988-02-29,22.126806722953916
Bitterroot,1988-03-01,1988-03-31,59.01780281215906
Gallatin,1988-03-01,1988-03-31,-18.94587693735957
Paradise Valley,1988-03-01,1988-03-31,3.486851178109646
Bitterroot,1988-04-01,1988-04-30,20.75446394085884
Gallatin,1988-04-01,1988-04-30,-46.559334706515074
Paradise Valley,1988-04-01,1988-04-30,9.913384675979614
Bitterroot,1988-05-01,1988-05-31,-16.325883427634835
Gallatin,1988-05-01,1988-05-31,-46.42738392204046
Paradise Valley,1988-05-01,1988-05-31,-46.42738392204046
Bitterroot,1988-06-01,1988-06-30,-84.62494236044586
Gallatin,1988-06-01,1988-06-30,-145.44581583607942
Paradise Valley,1988-06-01,1988-06-30,-147.5373462252319
Bitterroot,1988-07-01,1988-07-31,-155.03345519304276
Gallatin,1988-07-01,1988-07-31,-184.70375941228122
Paradise Valley,1988-07-01,1988-07-31,-177.77213686704636
Bitterroot,1988-08-01,1988-08-31,-143.49006210267544
Gallatin,1988-08-01,1988-08-31,-157.48696692287922
Paradise Valley,1988-08-01,1988-08-31,-154.24997197836637
Bitterroot,1988-09-01,1988-09-30,-59.94484800286591
Gallatin,1988-09-01,1988-09-30,-66.3067975640297
Paradise Valley,1988-09-01,1988-09-30,-77.40231434814632
Bitterroot,1988-10-01,1988-10-31,-18.101649187505245
Gallatin,1988-10-01,1988-10-31,-59.765675745904446
Paradise Valley,1988-10-01,1988-10-31,-59.765675745904446
Bitterroot,1988-11-01,1988-11-30,153.85258676856756
Gallatin,1988-11-01,1988-11-30,-1.302669983357191
Paradise Valley,1988-11-01,1988-11-30,83.52330762147903
Bitterroot,1988-12-01,1988-12-31,56.742759567685425
Gallatin,1988-12-01,1988-12-31,-6.782632386311889
Paradise Valley,1988-12-01,1988-12-31,0.12963326275348663
Bitterroot,1989-01-01,1989-01-31,124.00672022253275
Gallatin,1989-01-01,1989-01-31,2.7076062336564064
Paradise Valley,1989-01-01,1989-01-31,20.752826247364283
Bitterroot,1989-02-01,1989-02-28,26.954248521476984
Gallatin,1989-02-01,1989-02-28,-6.659179255366325
Paradise Valley,1989-02-01,1989-02-28,26.298782500438392
Bitterroot,1989-03-01,1989-03-31,82.97058016993105
Gallatin,1989-03-01,1989-03-31,-9.250716295093298
Paradise Valley,1989-03-01,1989-03-31,61.55365635454655
Bitterroot,1989-04-01,1989-04-30,-11.823717776685953
Gallatin,1989-04-01,1989-04-30,-39.52580872178078
Paradise Valley,1989-04-01,1989-04-30,-21.447694409638643
Bitterroot,1989-05-01,1989-05-31,5.158009395003319
Gallatin,1989-05-01,1989-05-31,-37.84506506100297
Paradise Valley,1989-05-01,1989-05-31,-37.79972012434155
Bitterroot,1989-06-01,1989-06-30,-71.87389361858368
Gallatin,1989-06-01,1989-06-30,-98.24016290158033
Paradise Valley,1989-06-01,1989-06-30,-83.30441845953465
Bitterroot,1989-07-01,1989-07-31,-137.65264858305454
Gallatin,1989-07-01,1989-07-31,-154.03606349229813
Paradise Valley,1989-07-01,1989-07-31,-145.941612534225
Bitterroot,1989-08-01,1989-08-31,-29.84767686575651
Gallatin,1989-08-01,1989-08-31,-93.22844767011702
Paradise Valley,1989-08-01,1989-08-31,-81.66674318164587
Bitterroot,1989-09-01,1989-09-30,-71.15287482738495
Gallatin,1989-09-01,1989-09-30,-86.21739692986012
Paradise Valley,1989-09-01,1989-09-30,-70.94325363636017
Bitterroot,1989-10-01,1989-10-31,-7.986568376421928
Gallatin,1989-10-01,1989-10-31,0.9376985616981983
Paradise Valley,1989-10-01,1989-10-31,10.330550478771329
Bitterroot,1989-11-01,1989-11-30,105.08029580069706
Gallatin,1989-11-01,1989-11-30,-32.61278336402029
Paradise Valley,1989-11-01,1989-11-30,38.13503983616829
Bitterroot,1989-12-01,1989-12-31,54.25872348994017
Gallatin,1989-12-01,1989-12-31,-3.209699465893209
Paradise Valley,1989-12-01,1989-12-31,44.05181687511504
Bitterroot,1990-01-01,1990-01-31,134.0060602426529
Gallatin,1990-01-01,1990-01-31,-8.64430452696979
Paradise Valley,1990-01-01,1990-01-31,39.48240103200078
Bitterroot,1990-02-01,1990-02-28,75.86666095256805
Gallatin,1990-02-01,1990-02-28,-29.994630597531796
Paradise Valley,1990-02-01,1990-02-28,8.894570223987103
Bitterroot,1990-03-01,1990-03-31,3.999977558851242
Gallatin,1990-03-01,1990-03-31,-12.186266995966434
Paradise Valley,1990-03-01,1990-03-31,-12.186266995966434
Bitterroot,1990-04-01,1990-04-30,15.921616826206446
Gallatin,1990-04-01,1990-04-30,-38.536700181663036
Paradise Valley,1990-04-01,1990-04-30,-3.405877330340445
Bitterroot,1990-05-01,1990-05-31,30.628922298550606
Gallatin,1990-05-01,1990-05-31,-37.01803476177156
Paradise Valley,1990-05-01,1990-05-31,-14.921031817793846
Bitterroot,1990-06-01,1990-06-30,-79.10080470703542
Gallatin,1990-06-01,1990-06-30,-100.72860888764262
Paradise Valley,1990-06-01,1990-06-30,-93.76033777929842
Bitterroot,1990-07-01,1990-07-31,-124.22062480449677
Gallatin,1990-07-01,1990-07-31,-139.39292632043362
Paradise Valley,1990-07-01,1990-07-31,-119.65792850218713
Bitterroot,1990-08-01,1990-08-31,-67.63028014451265
Gallatin,1990-08-01,1990-08-31,-95.87665362656116
Paradise Valley,1990-08-01,1990-08-31,-97.03179587610066
Bitterroot,1990-09-01,1990-09-30,-99.34417119715363
Gallatin,1990-09-01,1990-09-30,-104.1257835328579
Paradise Valley,1990-09-01,1990-09-30,-77.02703693509102
Bitterroot,1990-10-01,1990-10-31,62.07399060204625
Gallatin,1990-10-01,1990-10-31,-52.374968249350786
Paradise Valley,1990-10-01,1990-10-31,18.081076295115054
Bitterroot,1990-11-01,1990-11-30,98.2992813885212
Gallatin,1990-11-01,1990-11-30,-18.453989129513502
Paradise Valley,1990-11-01,1990-11-30,31.886906776577234
Bitterroot,1990-12-01,1990-12-31,60.78306555002928
Gallatin,1990-12-01,1990-12-31,-7.937552081421018
